Time,Pose,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RHipYawPitch,RHipRoll,RHipPitch,RKneePitch,RAnklePitch,RAnkleRoll,LHipYawPitch,LHipRoll,LHipPitch,LKneePitch,LAnklePitch,LAnkleRoll
0:00:00,Pose1,1.56552,-0.333338,0,0,1.50797,0.432536,-0.0838,-0.015709,0,0,0,0,0,0,0,0,0,0,0.024426,0
0:01:40,Pose2,1.56552,-0.533338,0,0,1.50797,0.632536,-0.0838,-0.015709,0,0,0,0.5,-0.5,0,0,0,0,0.5,-0.475574,-0.01394
0:03:20,Pose3,1.56552,-0.833338,0,0,1.50797,0.932536,-0.0838,-0.015709,0,0,0,1,-1,0,0,0,0,1,-1.07557,0
0:05:00,Pose4,1.56552,-1.03334,0,0,1.50797,1.13264,-0.0838,-0.015709,0,0,0,1.5,-1.1863,0,0,0,0,1.5,-1.1894,0
0:06:40,Pose5,1.56552,-1.32645,0,0,1.50797,1.13264,-0.0838,-0.015709,0,0,0,2,-1.1863,0,0,0,0,2,-1.1894,0
0:08:20,Pose6,1.56552,-1.32645,0,0,1.50797,1.13264,-0.0838,-0.015709,0,0,0,2.1125,-1.1863,0,0,0,0,2.1125,-1.1894,0
0:10:00,Pose7,0.86552,-1.32645,0,0,1.00797,1.13264,-0.0838,-0.015709,0,0,0,2.1125,-1.1863,0,0,0,0,2.1125,-1.1894,0
0:11:40,Pose8,0.16552,-1.32645,0,0,0.307968,1.13264,-0.0838,-0.015709,0,0,0,2.1125,-1.1863,0,0,0,0,2.1125,-1.1894,0
0:13:20,Pose9,-0.53448,-1.32645,0,0,-0.392032,1.13264,-0.0838,-0.015709,0,0,0,2.1125,-1.1863,0,0,0,0,2.1125,-1.1894,0
0:15:00,Pose10,-1.83448,-1.32645,0,0,-1.89203,1.13264,-0.0838,-0.015709,0,0,0,2.1125,-1.1863,0,0,0,0,2.1125,-1.1894,0
0:01:00,Pose11,-1.83448,-1.13334,0,0,-1.89203,1.23254,-0.0838,-0.015709,0,0,0,2.1125,-1.1863,0,0,0,0,2.1125,-1.1894,0
0:02:40,Pose12,-1.83448,-0.633338,0,0,-1.89203,0.732536,-0.0838,-0.015709,0,0,0,2.1125,-1.1863,0,0,0,0,2.1125,-1.1894,0
0:04:20,Pose13,-1.83448,-0.133338,0,0,-1.89203,0.232536,-0.0838,-0.015709,0,0,0,2.1125,-1.1863,0,0,0,0,2.1125,-1.1894,0
0:06:00,Pose14,-1.53448,-0.133338,0,0,-1.59203,0.232536,-0.0838,-0.015709,0,0,-0.3,2.1125,-1.1863,0,0,0,-0.3,2.1125,-1.1894,0
0:07:40,Pose15,-1.23448,-0.133338,0,0,-1.29203,0.232536,-0.0838,-0.015709,0,0,-0.6,2.1125,-1.1863,0,0,0,-0.6,2.1125,-1.1894,0
0:09:20,Pose16,-0.93448,-0.133338,0,0,-0.99203,0.232536,-0.0838,-0.015709,0,0,-0.9,2.1125,-1.1863,0,0,0,-0.9,2.1125,-1.1894,0
0:11:00,Pose17,-0.63448,-0.133338,0,0,-0.69203,0.232536,-0.0838,-0.015709,0,0,-1.2,2.1125,-1.1863,0,0,0,-1.2,2.1125,-1.1894,0
0:12:40,Pose18,-0.33448,-0.133338,0,0,-0.39203,0.232536,-0.0838,-0.015709,0,0,-1.6,2.1125,-1.1863,0,0,0,-1.6,2.1125,-1.1894,0
0:14:20,Pose19,-0.03448,-0.133338,0,0,-0.09203,0.232536,-0.0838,-0.015709,0,0,-1.6,2.1125,-1.1863,0,0,0,-1.6,2.1125,-1.1894,0
0:16:00,Pose20,-0.03448,-0.133338,0,0,-0.09203,0.232536,-0.0838,-0.015709,-0.3,0,-1.6,2.0689,-1.1863,0.1,-0.3,0,-1.6,2.0689,-1.1894,-0.1
0:02:00,Pose21,-0.03448,-0.133338,0,0,-0.091888,0.232536,-0.0838,-0.015709,-0.6,0.2,-1.6,1.83781,-1.1863,0.3,-0.6,-0.2,-1.6,1.8689,-1.1894,-0.3
0:03:40,Pose22,-0.03448,-0.133338,0,0,-0.091888,0.232536,-0.0838,-0.015709,-0.6,0.4,-1.6,1.83781,-1.1863,0.15,-0.6,-0.3794,-1.6,1.8689,-1.1894,-0.15
0:05:20,Pose23,-0.03448,-0.133338,0,0,-0.091888,0.232536,-0.0838,-0.015709,-0.6,0.4,-1.6,1.33781,-0.8963,0.25,-0.6,-0.3794,-1.6,1.3689,-0.8963,-0.25
0:07:00,Pose24,-0.03448,-0.133338,0,0,-0.091888,0.232536,-0.0838,-0.015709,-0.9,0.4,-1.6,1.33781,-0.4963,0.35,-0.9,-0.3794,-1.6,1.3689,-0.5963,-0.35
0:08:40,Pose25,-0.03448,-0.133338,0,0,-0.091888,0.232536,-0.0838,-0.015709,-1.1,0.4,-1.6,1.33781,-0.1963,0.35,-1.1,-0.3794,-1.6,1.3689,-0.1963,-0.35
0:10:20,Pose26,-0.03448,-0.133338,0,0,-0.091888,0.232536,-0.0838,-0.015709,-1.1,0.4,-1.4,1.33781,-0.1963,0.21,-1.1,-0.3794,-1.4,1.3689,-0.1963,-0.21
0:12:00,Pose27,-0.03448,-0.133338,0,0,-0.091888,0.232536,-0.0838,-0.015709,-1.1,0.4,-1.2,1.33781,-0.1963,0.01,-1.1,-0.3794,-1.2,1.3689,-0.1963,-0.01
0:13:40,Pose28,0.26552,-0.133338,0,0,0.208112,0.232536,-0.0838,-0.015709,-1.1,0.4,-1.2,1.13781,0.0137,0.01,-1.1,-0.3794,-1.2,1.1689,0.00370004,-0.01
0:15:20,Pose29,2,-0.6,0,0,2,0.6,-0.0838,-0.015709,-1.1,0.3,-1.2,1.13781,0.0137,0.01,-1.1,-0.3,-1.2,1.1689,0.00370004,-0.01
0:17:00,Pose30,2,-0.6,0,0,2,0.6,-0.0838,-0.015709,-1.1,0.2,-1,0.937809,0.0137,0.01,-1.1,-0.2,-1,0.9689,0.00370004,-0.01
0:03:00,Pose31,2.009,-0.6,0,0,2,0.6,-0.0838,-0.015709,-1.1,0.2,-0.8,0.737809,0.1,0.01,-1.1,-0.2,-0.8,0.7689,0.1,-0.01
0:04:40,Pose32,2,-0.6,0,0,2,0.6,-0.0838,-0.015709,-1.1,0.2,-0.6,0.537809,0.2,0.01,-1.1,-0.2,-0.6,0.5689,0.2,-0.01
0:06:20,Pose33,2,-0.6,0,0,2,0.6,-0.0838,-0.015709,-1.1,0.2,-0.4,0.337809,0.25,0.01,-1.1,-0.2,-0.4,0.3689,0.25,-0.01
0:08:00,Pose34,2,-0.6,0,0,2,0.6,-0.0838,-0.015709,-0.8,0.1,-0.4,0.337809,0.2,0.01,-0.8,-0.1,-0.4,0.3689,0.2,-0.01
0:09:40,Pose35,1.5,-0.3,0,0,1.5,0.3,-0.0838,-0.015709,-0.6,2.78E-17,-0.2,0.137809,0.1,0.01,-0.6,-2.78E-17,-0.2,0.1689,0.1,-0.01
