Time,Pose,LHipYawPitch,LHipRoll,LHipPitch,LKneePitch,LAnklePitch,LAnkleRoll,RHipYawPitch,RHipRoll,RHipPitch,RKneePitch,RAnklePitch,RAnkleRoll
0:00:00,Pose1,0,-0.021,-0.525,1.05,-0.525,0.021,0,-0.02,-0.525,1.05,-0.525,0.02
0:00:40,Pose2,0,-0.022,-0.525,1.05,-0.525,0.022,0,-0.022,-0.525,1.05,-0.525,0.021
0:01:20,Pose3,0,-0.023,-0.525,1.05,-0.525,0.023,0,-0.023,-0.525,1.05,-0.525,0.023
0:02:00,Pose4,0,-0.026,-0.525,1.05,-0.525,0.026,0,-0.026,-0.525,1.05,-0.525,0.026
0:02:40,Pose5,0,-0.029,-0.525,1.049,-0.525,0.029,0,-0.029,-0.525,1.05,-0.525,0.029
0:03:20,Pose6,0,-0.032,-0.524,1.049,-0.525,0.032,0,-0.032,-0.524,1.049,-0.525,0.032
0:04:00,Pose7,0,-0.039,-0.524,1.048,-0.524,0.039,0,-0.039,-0.524,1.048,-0.524,0.039
0:04:40,Pose8,0,-0.045,-0.524,1.047,-0.524,0.045,0,-0.045,-0.524,1.048,-0.524,0.045
0:05:20,Pose9,0,-0.057,-0.522,1.045,-0.523,0.057,0,-0.057,-0.522,1.045,-0.523,0.057
0:06:00,Pose10,0,-0.068,-0.521,1.043,-0.522,0.068,0,-0.068,-0.521,1.043,-0.522,0.068
0:06:40,Pose11,0,-0.082,-0.519,1.04,-0.52,0.082,0,-0.082,-0.519,1.04,-0.52,0.082
0:07:20,Pose12,0,-0.11,-0.514,1.03,-0.516,0.11,0,-0.109,-0.514,1.031,-0.516,0.109
0:08:00,Pose13,0,-0.133,-0.509,1.021,-0.512,0.133,0,-0.132,-0.509,1.021,-0.512,0.132
0:08:40,Pose14,0,-0.158,-0.502,1.008,-0.506,0.158,0,-0.158,-0.502,1.008,-0.506,0.158
0:09:20,Pose15,0,-0.196,-0.488,0.983,-0.495,0.196,0,-0.196,-0.488,0.983,-0.495,0.196
0:10:00,Pose16,0,-0.219,-0.478,0.965,-0.487,0.219,0,-0.219,-0.478,0.965,-0.487,0.219
0:10:40,Pose17,0,-0.239,-0.468,0.947,-0.479,0.239,0,-0.239,-0.468,0.947,-0.479,0.239
0:11:20,Pose18,-0.005,-0.257,-0.455,0.925,-0.469,0.261,-0.005,-0.261,-0.463,0.941,-0.476,0.261
0:12:00,Pose19,-0.02,-0.251,-0.444,0.919,-0.467,0.271,-0.02,-0.275,-0.478,0.977,-0.491,0.275
0:12:40,Pose20,-0.043,-0.22,-0.429,0.921,-0.469,0.28,-0.043,-0.287,-0.503,1.041,-0.515,0.287
0:13:20,Pose21,-0.09,-0.202,-0.401,0.933,-0.478,0.29,-0.09,-0.303,-0.542,1.158,-0.562,0.301
0:14:00,Pose22,-0.127,-0.206,-0.377,0.944,-0.488,0.294,-0.127,-0.312,-0.559,1.231,-0.592,0.308
0:14:40,Pose23,-0.168,-0.207,-0.347,0.954,-0.499,0.297,-0.168,-0.318,-0.563,1.29,-0.619,0.312
0:15:20,Pose24,-0.232,-0.204,-0.294,0.965,-0.515,0.299,-0.232,-0.325,-0.538,1.336,-0.643,0.312
0:16:00,Pose25,-0.276,-0.198,-0.254,0.967,-0.526,0.297,-0.276,-0.328,-0.502,1.335,-0.646,0.308
0:01:00,Pose26,-0.318,-0.19,-0.212,0.964,-0.534,0.293,-0.318,-0.328,-0.453,1.307,-0.636,0.301
0:01:40,Pose27,-0.376,-0.171,-0.151,0.956,-0.545,0.282,-0.376,-0.325,-0.367,1.227,-0.6,0.285
0:02:20,Pose28,-0.41,-0.155,-0.114,0.949,-0.55,0.271,-0.41,-0.319,-0.307,1.156,-0.565,0.27
0:03:00,Pose29,-0.438,-0.143,-0.084,0.945,-0.555,0.257,-0.438,-0.31,-0.252,1.085,-0.528,0.254
0:03:40,Pose30,-0.467,-0.168,-0.059,0.947,-0.561,0.231,-0.467,-0.288,-0.191,1.002,-0.485,0.223
0:04:20,Pose31,-0.476,-0.158,-0.057,0.957,-0.565,0.208,-0.476,-0.268,-0.171,0.981,-0.476,0.199
0:05:00,Pose32,-0.478,-0.131,-0.071,0.975,-0.568,0.18,-0.478,-0.239,-0.17,0.993,-0.487,0.17
0:05:40,Pose33,-0.478,-0.071,-0.108,1.011,-0.569,0.123,-0.478,-0.177,-0.175,1.023,-0.515,0.111
0:06:20,Pose34,-0.478,-0.021,-0.133,1.031,-0.566,0.076,-0.478,-0.125,-0.172,1.038,-0.534,0.062
0:07:00,Pose35,-0.478,0.066,-0.163,1.045,-0.551,-0.006,-0.478,-0.038,-0.155,1.044,-0.557,-0.02
0:07:40,Pose36,-0.478,0.124,-0.174,1.04,-0.534,-0.061,-0.478,0.02,-0.135,1.033,-0.566,-0.075
0:08:20,Pose37,-0.478,0.178,-0.177,1.025,-0.515,-0.112,-0.478,0.073,-0.109,1.013,-0.569,-0.125
0:09:00,Pose38,-0.478,0.225,-0.175,1.004,-0.494,-0.157,-0.478,0.118,-0.082,0.987,-0.568,-0.168
0:09:40,Pose39,-0.472,0.277,-0.173,0.984,-0.474,-0.206,-0.472,0.165,-0.047,0.948,-0.562,-0.215
0:10:20,Pose40,-0.458,0.303,-0.193,1.01,-0.484,-0.233,-0.458,0.176,-0.039,0.929,-0.557,-0.238
0:11:00,Pose41,-0.436,0.322,-0.231,1.063,-0.509,-0.256,-0.436,0.159,-0.045,0.92,-0.553,-0.257
0:11:40,Pose42,-0.392,0.34,-0.311,1.167,-0.558,-0.284,-0.392,0.163,-0.077,0.92,-0.546,-0.279
0:12:20,Pose43,-0.356,0.346,-0.37,1.233,-0.588,-0.298,-0.356,0.179,-0.111,0.926,-0.541,-0.29
0:13:00,Pose44,-0.316,0.348,-0.428,1.286,-0.61,-0.309,-0.316,0.193,-0.151,0.934,-0.536,-0.298
0:13:40,Pose45,-0.253,0.346,-0.501,1.325,-0.62,-0.32,-0.253,0.207,-0.217,0.944,-0.525,-0.306
0:14:20,Pose46,-0.21,0.342,-0.533,1.319,-0.613,-0.323,-0.21,0.214,-0.26,0.948,-0.516,-0.308
0:15:00,Pose47,-0.167,0.336,-0.55,1.287,-0.596,-0.324,-0.167,0.217,-0.301,0.946,-0.506,-0.309
0:15:40,Pose48,-0.107,0.326,-0.546,1.197,-0.557,-0.32,-0.107,0.219,-0.353,0.936,-0.489,-0.308
0:16:20,Pose49,-0.072,0.318,-0.525,1.119,-0.527,-0.315,-0.072,0.218,-0.38,0.925,-0.478,-0.305
0:17:00,Pose50,-0.043,0.31,-0.497,1.037,-0.498,-0.309,-0.043,0.223,-0.401,0.912,-0.469,-0.302
0:02:00,Pose51,-0.011,0.299,-0.454,0.933,-0.464,-0.299,-0.011,0.277,-0.423,0.896,-0.458,-0.297
0:02:40,Pose52,-0.001,0.294,-0.438,0.896,-0.454,-0.294,-0.001,0.291,-0.432,0.89,-0.455,-0.294
0:03:20,Pose53,0,0.29,-0.436,0.891,-0.455,-0.29,0,0.29,-0.436,0.891,-0.455,-0.29
0:04:00,Pose54,0,0.283,-0.44,0.899,-0.459,-0.283,0,0.283,-0.44,0.899,-0.459,-0.283
0:04:40,Pose55,0,0.276,-0.444,0.906,-0.462,-0.276,0,0.277,-0.444,0.906,-0.462,-0.277
0:05:20,Pose56,0,0.269,-0.449,0.914,-0.466,-0.269,0,0.269,-0.449,0.914,-0.466,-0.269
0:06:00,Pose57,0,0.255,-0.457,0.929,-0.472,-0.255,0,0.255,-0.457,0.929,-0.472,-0.255
0:06:40,Pose58,0,0.244,-0.463,0.94,-0.477,-0.244,0,0.244,-0.463,0.94,-0.477,-0.244
0:07:20,Pose59,0,0.226,-0.472,0.957,-0.485,-0.226,0,0.226,-0.473,0.957,-0.485,-0.226
0:08:00,Pose60,0,0.212,-0.479,0.969,-0.49,-0.212,0,0.213,-0.479,0.969,-0.49,-0.213
0:08:40,Pose61,0,0.198,-0.485,0.98,-0.495,-0.198,0,0.198,-0.485,0.98,-0.495,-0.198
0:09:20,Pose62,0,0.183,-0.491,0.99,-0.499,-0.183,0,0.183,-0.491,0.99,-0.499,-0.183
0:10:00,Pose63,0,0.16,-0.499,1.005,-0.506,-0.16,0,0.16,-0.5,1.005,-0.506,-0.16
0:10:40,Pose64,0,0.145,-0.504,1.014,-0.509,-0.145,0,0.145,-0.504,1.014,-0.509,-0.145
0:11:20,Pose65,0,0.121,-0.511,1.025,-0.514,-0.121,0,0.122,-0.511,1.025,-0.514,-0.122
0:12:00,Pose66,0,0.106,-0.514,1.031,-0.517,-0.107,0,0.107,-0.514,1.031,-0.517,-0.107
0:12:40,Pose67,0,0.092,-0.517,1.036,-0.519,-0.092,0,0.092,-0.517,1.036,-0.519,-0.092
0:13:20,Pose68,0,0.072,-0.52,1.042,-0.522,-0.072,0,0.072,-0.52,1.042,-0.522,-0.072
